画面左下角0,0
x,y
714,36   812853.382,817632.123
684,385  812848.822,817629.367
577,632  812844.458,817626.888
556,797  812838.259,817623.165
552,788  812823.637,817616.005
767,927  812821.539,817619.759
833,857  812832.669,817625.051
959,741  812842.637,817630.290
1196,490 812847.255,817632.902
1131,116 812851.359,817635.492
1905,383 812849.832,817639.627
1558,579 812844.843,817636.711
1321,710 812840.124,817634.052
1070,837 812830.839,817628.688
916,919  812821.082,817624.072
1027,944 812819.512,817628.503
1252,855 812828.735,817632.610
1483,767 812838.424,817637.456
1724,655 812843.502,817640.283
1919,528 812848.358,817643.020
974,406  812851.535,817633.476
1111,427 812851.082,817634.208
1063,471 812850.443,817633.831
942,451  812850.894,817633.058
981,480  812850.337,817633.236
965,517  812849.692,817632.807
1588,588 812846.453,817638.133
1652,602 812845.974,817638.901
1611,626 812845.338,817638.509
1538,614 812845.795,817637.778
1538,627 812845.568,817637.912
1602,637 812844.948,817638.587
1560,659 812844.396,817638.263
1499,648 812844.767,817637.412
1272,806 812835.709,817634.457
1370,812 812835.336,817635.221
1293,825 812834.601,817634.914
1247,824 812835.031,817634.125
1784,678 812843.347,817640.924
